StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q45,Q46,Q47,Q37,Q38,Q39,Q33,Q34,Q35,Q11,Q12,Q13,Q17,Q18,Q19,Q21,Q22,Q23,Q25,Q26,Q27,Q29,Q30,Q31,Q67,Q68,Q69,Q59,Q60,Q61,Q71,Q72,Q73,Q83,Q84,Q85,Q75,Q76,Q77,Q79,Q80,Q81,Q87,Q88,Q89,Q91,Q92,Q93,Q63,Q64,Q65,Q41,Q42,Q43
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please write your nickname below:,This sample was created by a human,The music in this sample sounded complex,I enjoyed this sample,This sample was created by a human,The music in this sample sounded complex,I enjoyed this sample,This sample was created by a human,The music in this sample sounded complex,I enjoyed this sample,This sample was created by a human,The music in this sample sounded complex,I enjoyed this sample,This sample was created by a human,The music in this sample sounded complex,I enjoyed this sample,This sample was created by a human,The music in this sample sounded complex,I enjoyed this sample,This sample was created by a human,The music in this sample sounded complex,I enjoyed this sample,This sample was created by a human,The music in this sample sounded complex,I enjoyed this sample,This sample was created by a human.,The music in this sample sounds complex.,I enjoyed this sample.,This sample was created by a human.,The music in this sample sounds complex.,I enjoyed this sample.,This sample was created by a human.,The music in this sample sounds complex.,I enjoyed this sample.,This sample was created by a human.,The music in this sample sounds complex.,I enjoyed this sample.,This sample was created by a human.,The music in this sample sounds complex.,I enjoyed this sample.,This sample was created by a human.,The music in this sample sounds complex.,I enjoyed this sample.,This sample was created by a human.,The music in this sample sounds complex.,I enjoyed this sample.,This sample was created by a human.,The music in this sample sounds complex.,I enjoyed this sample.,This sample was created by a human.,The music in this sample sounds complex.,I enjoyed this sample.,This sample was created by a human,The music in this sample sounded complex,I enjoyed this sample
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""},""{""""ImportId"""":""""endDate"""",""""timeZone"""":""""Europe/Berlin""""}"",""{""""ImportId"""":""""status""""}"",""{""""ImportId"""":""""ipAddress""""}"",""{""""ImportId"""":""""progress""""}"",""{""""ImportId"""":""""duration""""}"",""{""""ImportId"""":""""finished""""}"",""{""""ImportId"""":""""recordedDate"""",""""timeZone"""":""""Europe/Berlin""""}"",""{""""ImportId"""":""""_recordId""""}"",""{""""ImportId"""":""""recipientLastName""""}"",""{""""ImportId"""":""""recipientFirstName""""}"",""{""""ImportId"""":""""recipientEmail""""}"",""{""""ImportId"""":""""externalDataReference""""}"",""{""""ImportId"""":""""locationLatitude""""}"",""{""""ImportId"""":""""locationLongitude""""}"",""{""""ImportId"""":""""distributionChannel""""}"",""{""""ImportId"""":""""userLanguage""""}"",""{""""ImportId"""":""""QID57_TEXT""""}"",""{""""ImportId"""":""""QID45""""}"",""{""""ImportId"""":""""QID46""""}"",""{""""ImportId"""":""""QID47""""}"",""{""""ImportId"""":""""QID37""""}"",""{""""ImportId"""":""""QID38""""}"",""{""""ImportId"""":""""QID39""""}"",""{""""ImportId"""":""""QID33""""}"",""{""""ImportId"""":""""QID34""""}"",""{""""ImportId"""":""""QID35""""}"",""{""""ImportId"""":""""QID11""""}"",""{""""ImportId"""":""""QID12""""}"",""{""""ImportId"""":""""QID13""""}"",""{""""ImportId"""":""""QID17""""}"",""{""""ImportId"""":""""QID18""""}"",""{""""ImportId"""":""""QID19""""}"",""{""""ImportId"""":""""QID21""""}"",""{""""ImportId"""":""""QID22""""}"",""{""""ImportId"""":""""QID23""""}"",""{""""ImportId"""":""""QID25""""}"",""{""""ImportId"""":""""QID26""""}"",""{""""ImportId"""":""""QID27""""}"",""{""""ImportId"""":""""QID29""""}"",""{""""ImportId"""":""""QID30""""}"",""{""""ImportId"""":""""QID31""""}"",""{""""ImportId"""":""""QID67""""}"",""{""""ImportId"""":""""QID68""""}"",""{""""ImportId"""":""""QID69""""}"",""{""""ImportId"""":""""QID59""""}"",""{""""ImportId"""":""""QID60""""}"",""{""""ImportId"""":""""QID61""""}"",""{""""ImportId"""":""""QID71""""}"",""{""""ImportId"""":""""QID72""""}"",""{""""ImportId"""":""""QID73""""}"",""{""""ImportId"""":""""QID83""""}"",""{""""ImportId"""":""""QID84""""}"",""{""""ImportId"""":""""QID85""""}"",""{""""ImportId"""":""""QID75""""}"",""{""""ImportId"""":""""QID76""""}"",""{""""ImportId"""":""""QID77""""}"",""{""""ImportId"""":""""QID79""""}"",""{""""ImportId"""":""""QID80""""}"",""{""""ImportId"""":""""QID81""""}"",""{""""ImportId"""":""""QID87""""}"",""{""""ImportId"""":""""QID88""""}"",""{""""ImportId"""":""""QID89""""}"",""{""""ImportId"""":""""QID91""""}"",""{""""ImportId"""":""""QID92""""}"",""{""""ImportId"""":""""QID93""""}"",""{""""ImportId"""":""""QID63""""}"",""{""""ImportId"""":""""QID64""""}"",""{""""ImportId"""":""""QID65""""}"",""{""""ImportId"""":""""QID41""""}"",""{""""ImportId"""":""""QID42""""}"",""{""""ImportId"""":""""QID43""""}"""
2021-03-10 15:34:58,2021-03-10 15:42:30,IP Address,92.110.129.199,100,452,True,2021-03-10 15:42:31,R_25RsVcBCZg7d15R,,,,,51.8513031005859375,5.863800048828125,anonymous,EN,oek3760,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
2021-03-10 15:34:51,2021-03-10 15:42:37,IP Address,178.85.215.216,100,465,True,2021-03-10 15:42:37,R_1Kgb5riQpqQwrDl,,,,,51.8385009765625,5.8730926513671875,anonymous,EN,ink6170,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
2021-03-10 15:34:54,2021-03-10 15:43:14,IP Address,84.243.238.209,100,500,True,2021-03-10 15:43:14,R_7apmr34sVMLe5j3,,,,,51.8441009521484375,5.8843994140625,anonymous,EN,nez7762,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree
2021-03-10 15:35:25,2021-03-10 15:43:17,IP Address,83.82.187.242,100,472,True,2021-03-10 15:43:17,R_1QmZtfOp3peGakw,,,,,51.6873016357421875,5.786102294921875,anonymous,EN,rst1903,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2021-03-10 15:34:54,2021-03-10 15:43:19,IP Address,213.124.160.37,100,505,True,2021-03-10 15:43:19,R_ut5viA77ir29nLX,,,,,51.833892822265625,5.8643035888671875,anonymous,EN,STA10701,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree
2021-03-10 15:34:50,2021-03-10 15:43:24,IP Address,213.124.176.46,100,513,True,2021-03-10 15:43:24,R_1qVsh5WFyQsxbgg,,,,,51.8379974365234375,5.82989501953125,anonymous,EN,orn58382,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree
2021-03-10 15:35:24,2021-03-10 15:43:26,IP Address,85.145.126.252,100,481,True,2021-03-10 15:43:26,R_1KcDxUntH5QMTlH,,,,,51.84210205078125,5.8592987060546875,anonymous,EN,ata3832,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree
2021-03-10 15:35:21,2021-03-10 15:43:36,IP Address,213.124.168.11,100,494,True,2021-03-10 15:43:36,R_3m2jN4XltwW8DpL,,,,,51.8199005126953125,5.8715057373046875,anonymous,EN,ORN2520,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2021-03-10 15:37:06,2021-03-10 15:43:45,IP Address,95.96.250.21,100,398,True,2021-03-10 15:43:45,R_9tc9QrDWQ4VCt0t,,,,,51.84210205078125,5.8592987060546875,anonymous,EN,sen6791,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
